,year,price,developer
88310,2018,4.99,Kotoshiro
88311,2018,Free,Secret Level SRL
88312,2017,Free,Poolians.com
88313,2017,0.99,彼岸领域
88315,2018,3.99,Trickjump Games Ltd
88316,2018,9.99,Poppermost Productions
88317,2018,18.99,Poppermost Productions
88318,2018,29.99,Poppermost Productions
88319,2018,,RewindApp
88320,Soon..,,Qucheza
88322,2018,10.99,Stegalosaurus Game Development
88323,2018,3.99,Copperpick Studio
88324,2018,2.99,Ghulam Jewel
88325,2018,1.5899999999999999,Apillo
88326,2018,14.99,Poppermost Productions
88327,2018,1.99,Apillo
88328,2018,59.99,Poppermost Productions
88331,2018,0.99,Tero Lunkka
88333,2017,2.99,FrozenPepper
88334,2017,2.99,FrozenPepper
88335,2018,4.99,Casey Labrack
88336,2018,4.99,
88337,1997,9.99,Stainless Games Ltd
88338,1998,9.99,Valve
88339,2016,1.99,dev4play
88341,2018,,BlueLine Games
88342,2018,,Games by Brundle
88343,2018,0.99,ETGgames
88344,2018,,ProjectorGames
88345,2017,,Unknown Indie Devs
88347,2018,8.99,The Commander
88348,2018,0.99,"lalalaZero,Urbanoff"
88349,2006,6.99,Strategy First
88350,2006,6.99,Strategy First
88351,2006,9.99,Outerlight Ltd.
88353,2017,,Breakout Studio
88354,Beta测试已开启,,"zha7,Phaedruns,Yingke Wu"
88356,2017,7.99,Ultraint
88357,2018,,Seth Albertus
88358,2017,10.99,TPM.CO SOFT WORKS
88359,2017,9.99,Wonderbox Games
88360,2017,9.99,Wonderbox Games
88362,2017,1.99,Mad Unicorn Games
88364,2017,0.99,Emanon Studios
88365,2005,9.99,GlyphX Games
88366,2006,9.99,Introversion Software
88367,2006,9.99,Outerlight Ltd.
88368,2006,9.99,Facepunch Studios
88369,2006,39.99,SimBin
88370,2006,Free,Unknown Worlds Entertainment
88371,2006,4.99,"CINEMAX, s.r.o."
88372,2003,4.99,Sick Puppies
88373,2006,4.99,Deepred
88374,2006,19.99,Funcom
88375,2006,9.99,Bugbear Entertainment
88376,2005,7.49,Bugbear Entertainment
88377,2007,14.99,"CAPCOM Co., Ltd."
88378,2006,9.99,"FireFly Studios,Firaxis Games"
88379,2002,4.99,Arkane Studios
88380,2000,9.99,Funcom
88381,2006,4.99,Firaxis Games
88382,2003,9.99,PopTop
88383,2006,9.99,"Firaxis Games,Feral Interactive (Mac)"
88385,1998,4.99,PopTop
88386,2007,4.99,Elephant Games
88387,1995,4.99,"MicroProse Software, Inc"
88388,2007,8.99,"Crystal Dynamics,Feral Interactive (Mac)"
88389,2006,19.99,"CAPCOM Co., Ltd."
88390,2006,19.99,Telltale Games
88391,1996,4.99,id Software
88392,2007,,Freegamer
88393,2006,19.99,Telltale Games
88394,1995,4.99,id Software
88395,1995,14.99,id Software
88396,1994,4.99,id Software
88397,1994,4.99,id Software
88398,2001,4.99,Gray Matter Studios
88399,1997,2.99,Ritual Entertainment
88400,1993,2.99,id Software
88401,2003,9.99,Terminal Reality
88402,2007,2.99,Rogue Entertainment
88403,2007,4.99,id Software
88404,2007,4.99,Metamorf
88405,2006,12.99,Relic Entertainment
88406,2007,19.99,"2K Boston,2K Australia"
88407,2006,12.99,Relic Entertainment
88408,2006,12.99,Relic Entertainment
88409,2004,9.99,The Creative Assembly
88410,2006,4.99,The Creative Assembly
88411,2007,6.99,Big Fish Games
88412,1998,,Rockstar North
88413,1999,,Rockstar North
88414,2004,9.99,Rockstar North
88415,2003,9.99,Rockstar San Diego
88416,2003,9.99,Remedy Entertainment
88417,2006,6.99,Crystal Dynamics
88418,2001,9.99,Remedy Entertainment
88419,2008,19.99,EA Los Angeles
88420,2007,9.99,Infinite Interactive
88421,2007,9.99,Momentum Digital Media Technologies
88422,2007,9.99,"Gamebryo,Virtual Playground"
88423,2007,9.99,SCS Software
88424,2007,9.99,SCS Software
88425,2008,5.99,Pivotal Games
88426,2007,7.99,Bohemia Interactive
88427,2006,9.99,
88428,2006,9.99,Spellbound
88429,2007,4.99,Haggard Games
88430,2006,2.99,Eugen Systems
88431,2006,19.99,"Frontier,Aspyr (Mac)"
88432,2005,2.99,Eugen Systems
88433,2003,14.99,"Epic Games, Inc."
88434,1998,9.99,"Epic Games, Inc."
88435,2008,4.99,Sanzaru Games
88436,2003,9.99,Ubisoft
88437,2004,9.99,Crytek Studios
88438,2000,9.99,"Epic Games, Inc."
88439,2006,9.99,Ubisoft Montreal
88440,2005,9.99,Ubisoft
88441,2008,9.99,Last Day of Work
88442,2008,4.99,SpinTop Games
88443,2008,9.99,MumboJumbo
88444,2008,9.99,MumboJumbo
88445,2008,9.99,MumboJumbo
88446,2008,9.99,MumboJumbo
88447,2005,9.99,MumboJumbo
88448,2007,9.99,MumboJumbo
88449,2007,9.99,Ubisoft
88450,2005,9.99,MumboJumbo
88451,2007,9.99,"Ubisoft Bulgaria,Ubisoft Montpellier"
88452,2007,9.99,Ubisoft Romania
88453,2006,9.99,1C: Maddox Games
88454,2008,9.99,Ubisoft Romania
88455,2005,9.99,Telltale Games
88456,2005,9.99,"Merscom,Babylon"
88457,2006,9.99,Telltale Games
88458,2008,9.99,BigAnt Studios
88459,2008,9.99,Zemnott
88460,2007,9.99,Gabriel Entertainment
88461,2008,9.99,Zemnott
88462,2007,9.99,Zemnott
88463,2008,9.99,Frogwares
88464,2008,,Eurocom
88465,2008,9.99,Frogwares
88466,2008,4.99,"Luc Bernard,SilverSphereStudios"
88467,2007,7.99,Lesta Studio
88468,2008,4.99,Dialogue Design
88469,2008,19.99,Bugbear Entertainment
88470,1998,2.99,Oddworld Inhabitants
88471,1997,2.99,Oddworld Inhabitants
88472,2008,7.99,SimBin
88473,2001,4.99,"MicroProse Software, Inc"
88474,1997,4.99,"MicroProse Software, Inc"
88475,1993,4.99,"MicroProse Software, Inc"
88476,2008,9.99,GSC Game World
88477,2008,19.99,Crytek
88478,2007,19.99,Crytek
88479,1998,4.99,"MicroProse Software, Inc"
88480,2008,9.99,CD PROJEKT RED
88481,2008,9.99,Introversion Software
88482,2008,2.99,SimBin
88483,2008,2.49,"Tilted Mill Entertainment, Inc."
88484,2008,19.99,Firaxis Games
88485,2003,9.99,"Red Storm Entertainment,Ubisoft Montreal"
88486,2008,19.99,Traveller's Tales
88487,2008,9.99,Monte Cristo
88488,2008,9.99,"Tilted Mill Entertainment, Inc."
88489,2008,9.99,Gearbox Software
88490,2008,4.99,Dark Castle Software
88491,2006,4.99,Techland
88492,2006,9.99,Nival
88493,2005,9.99,Gearbox Software
88494,2007,9.99,Nival
88495,2008,19.99,Blue Byte
88496,2007,9.99,Ubisoft
88497,2002,9.99,Red Storm Entertainment
88498,2008,4.99,"PopCap Games, Inc."
88499,2008,9.99,2D BOY
88500,2008,15.99,Egosoft
88501,2008,Free,Sandstorm Productions
88502,2008,4.99,Shorebound Studios
88503,2008,19.99,Perpetual FX Creative
88504,2008,14.99,Rockstar New England
88505,2008,9.99,Ubisoft Montreal
88506,2008,4.99,Meridian4
88507,2009,4.99,RailSimulator.com
88508,2009,4.99,RailSimulator.com
88509,2009,4.99,RailSimulator.com
88510,2009,4.99,Reppo
88511,2009,4.99,RailSimulator.com
88512,2009,4.99,Dovetail Games
88513,2009,4.99,Dovetail Games
88514,2009,9.99,Volition
88515,2008,19.99,EA Redwood Shores
88516,2008,9.99,Liquid Entertainment
88517,2009,19.99,DICE
88518,2008,9.99,Hidden Path Entertainment
88519,2009,14.99,Monolith
88520,2008,7.99,Oxeye Game Studio
88521,2007,9.99,Inventive Dingo
88522,2009,4.99,Meridian4
88523,2005,9.99,Black Sea Studios Ltd
88524,2009,5.99,Realmforge Studios
88525,2009,2.99,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
88526,2009,4.99,Deadline Games
88527,2007,9.99,Frictional Games
88528,2007,19.99,"Epic Games, Inc."
88529,2009,9.99,Radon Labs
88530,2009,,Certain Affinity™
88531,2008,4.99,Tale of Tales
88532,2009,19.99,Criterion Games
88533,2009,,Zombie Master Team
88534,2009,9.99,Twisted Pixel Games
88535,2009,1.25,Twisted Pixel Games
88536,2009,1.25,Twisted Pixel Games
88537,2009,4.99,IonFX
88538,2009,9.99,Llamasoft LTD
88539,2009,14.99,"InnoGlow,Stormregion,THQ Nordic"
88540,2009,4.99,SpinTop Games
88541,2006,19.99,ArenaNet®
88542,2005,19.99,ArenaNet®
88543,2006,19.99,ArenaNet®
88544,2008,29.99,ArenaNet®
88545,2009,14.99,Infinite Interactive
88546,2009,9.99,MumboJumbo
88547,2009,9.99,Reality Pump Studios
