,tags,id,"title"
0,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",761140.0,Lost Summoner Kitty
1,"['Free to Play', 'Strategy', 'Indie', 'RPG', 'Card Game', 'Trading Card Game', 'Turn-Based', 'Fantasy', 'Tactical', 'Dark Fantasy', 'Board Game', 'PvP', '2D', 'Competitive', 'Replay Value', 'Character Customization', 'Female Protagonist', 'Difficult', 'Design & Illustration']",643980.0,Ironbound
2,"['Free to Play', 'Simulation', 'Sports', 'Casual', 'Indie', 'Multiplayer']",670290.0,Real Pool 3D - Poolians
3,"['Action', 'Adventure', 'Casual']",767400.0,弹炸人2222
4,"['Action', 'Adventure', 'Simulation', 'FPS', 'Shooter', 'Third-Person Shooter', 'Sniper', 'Third Person']",772540.0,Battle Royale Trainer
5,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774276.0,SNOW - All Access Basic Pass
6,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774277.0,SNOW - All Access Pro Pass
7,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774278.0,SNOW - All Access Legend Pass
8,"['Indie', 'Casual', 'Simulation', 'Racing']",768800.0,Race
9,"['Early Access', 'Action', 'Indie', 'Simulation', 'Survival']",768570.0,Uncanny Islands
10,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",770380.0,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition
11,"['Casual', 'Indie', 'Pixel Graphics', 'Cute', '2D']",768880.0,Beach Rules
12,"['Indie', 'Casual', 'Simulation']",765320.0,Planetarium 2 - Zen Odyssey
13,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773650.0,The first thrust of God
14,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774271.0,SNOW - Starter Pack
15,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",773690.0,The first thrust of God - All Aircrafts
16,"['Free to Play', 'Indie', 'Simulation', 'Sports']",774279.0,SNOW - Lifetime Pack
17,"['Action', 'Adventure', 'Indie']",768060.0,The Warrior Of Treasures
18,"['Simulation', 'Racing', 'Sports']",775880.0,RC Plane 3 - Canyon Scenario
19,"['Simulation', 'Racing', 'Sports']",775881.0,RC Plane 3 - F-53B
20,"['Indie', 'Action']",653960.0,DinoBlaster
21,"['Racing', 'Action', 'Classic', 'Indie', 'Gore', ""1990's"", 'Multiplayer', 'Singleplayer']",282010.0,Carmageddon Max Pack
22,"['FPS', 'Classic', 'Action', 'Sci-fi', 'Singleplayer', 'Shooter', 'Aliens', 'First-Person', 'Multiplayer', ""1990's"", 'Story Rich', 'Adventure', 'Atmospheric', 'Silent Protagonist', 'Great Soundtrack', 'Moddable', 'Linear', 'Retro', 'Difficult', 'Funny']",70.0,Half-Life
23,"['Action', 'RPG', 'Indie']",752360.0,Fallen Mage
24,"['Casual', 'Indie', 'Strategy', 'Card Game', 'Board Game', 'Turn-Based Strategy']",520680.0,Lost Cities
25,"['Action', 'Platformer', 'Side Scroller']",690410.0,Twisted Enhanced Edition
26,"['Casual', 'Indie', 'Simulation']",766850.0,Vaporwave Simulator
27,"['Casual', 'Action', 'Massively Multiplayer', 'Indie', 'Sports', 'Simulation', 'Strategy']",413120.0,Tactics Forever
28,"['Adventure', 'Indie', 'Casual']",773120.0,Christmas Santa Troubles
29,"['Action', 'Adventure', 'RPG']",754360.0,Underdone - Soundtrack
30,"['Adventure', 'RPG', 'Indie', 'Casual', 'Clicker']",716110.0,Bitcoin Clicker
31,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640.0,Disciples II: Gallean's Return
32,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630.0,Disciples II: Rise of the Elves
33,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400.0,The Ship: Murder Party
34,"['Strategy', 'Co-op', 'Turn-Based', 'Tactical', 'War', 'Multiplayer', 'Turn-Based Strategy']",662570.0,United Tactics
35,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",381620.0,Life of Rome
36,"['Early Access', 'Free to Play', 'Adventure', 'RPG']",714020.0,Idle Adventure
37,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920.0,Souland
38,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",659780.0,Darkness and a Crowd
39,"['Indie', 'Action', 'Adventure', 'RPG']",603280.0,TAROTICA VOO DOO
40,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110.0,Chronicles of Vinland
41,"['Indie', 'Action']",753100.0,Orbitality
42,"['Action', 'Adventure', 'Casual']",764280.0,Atomic Adam: Episode 1
43,"['Adventure', 'Indie', 'Casual', 'Free to Play']",758550.0,Mirt. Tales of the Cold Land. Chapter 2
44,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800.0,Advent Rising
45,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520.0,DEFCON
46,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420.0,The Ship: Single Player
47,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000.0,Garry's Mod
48,"['Racing', 'Simulation']",4230.0,RACE - The WTCC Game
49,"['Casual', 'Indie', 'Puzzle']",4900.0,Zen of Sudoku
50,"['Casual', 'Indie', 'Singleplayer']",2520.0,Gumboy - Crazy Adventures™
51,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200.0,Ghost Master®
52,"['Strategy', 'Simulation', 'Management']",6210.0,Vegas: Make It Big™
53,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300.0,Dreamfall: The Longest Journey
54,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990.0,FlatOut 2™
55,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220.0,FlatOut
56,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510.0,Lost Planet™: Extreme Condition
57,"['Strategy', 'City Builder', 'Simulation', 'Rome']",3980.0,CivCity: Rome
58,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",1700.0,Arx Fatalis
59,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",6310.0,The Longest Journey
60,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",3990.0,Civilization IV®: Warlords
61,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",7610.0,Railroad Tycoon 3
62,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",7600.0,Sid Meier's Railroads!
63,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",7620.0,Railroad Tycoon II Platinum
64,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']",2540.0,RIP - Trilogy™
65,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",7650.0,X-COM: Terror From the Deep
66,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",8000.0,Tomb Raider: Anniversary
67,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",6550.0,Devil May Cry® 3 Special Edition
68,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']",8200.0,Sam &amp; Max 101: Culture Shock
69,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']",2290.0,Final DOOM
70,"['Indie', 'RPG', 'Puzzle', 'Singleplayer']",2570.0,Vigil: Blood Bitterness™
71,"['Adventure', 'Action']",8210.0,Sam &amp; Max 102: Situation: Comedy
72,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']",2280.0,Ultimate Doom
73,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']",9160.0,Master Levels for Doom II
74,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",2300.0,DOOM II
75,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']",2270.0,Wolfenstein 3D
76,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",9010.0,Return to Castle Wolfenstein
77,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']",9040.0,QUAKE Mission Pack 1: Scourge of Armagon
78,"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]",9000.0,Spear of Destiny
79,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",3810.0,BloodRayne
80,"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']",9030.0,QUAKE Mission Pack 2: Dissolution of Eternity
81,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",2310.0,QUAKE
82,"['Strategy', 'Space', 'Sci-fi', 'RTS']",3230.0,Genesis Rising
83,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']",9310.0,"Warhammer® 40,000: Dawn of War® – Winter Assault"
84,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",7670.0,BioShock™
85,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']",4570.0,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition"
86,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']",4580.0,"Warhammer® 40,000: Dawn of War® - Dark Crusade"
87,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",4760.0,Rome: Total War™ - Collection
88,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",4770.0,Rome: Total War™ - Alexander
89,"['Casual', 'Hidden Object']",50970.0,Mystery Case Files: Madame Fate®
90,"['Action', 'Classic', 'Open World', 'Singleplayer', '2D', 'Adventure', 'Top-Down', ""1990's""]",12170.0,Grand Theft Auto
91,"['Action', 'Classic', 'Open World', 'Singleplayer', 'Shooter', 'Free to Play', '2D', 'Crime', 'Adventure', 'Violent', 'Gore']",12180.0,Grand Theft Auto 2
92,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",12130.0,Manhunt
93,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",12160.0,Midnight Club 2
